"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Irelia","Top",1,"0.5%","0.0%","0.5%","0%","100%",0,10,3,0.3,"17.6%","43.5%","0%",-1062,-1036,-11,9.6,"28.1%",416,"14.5%","19.1%",0.53,0.16
"Jarvan IV","Jungle",70,"34.3%","28.9%","63.2%","56%","16%",183,211,686,4.1,"83.2%","21.9%","37%",59,56,0.9,6.8,"17.5%",420,"15.3%","19.3%",0.36,0.44
"Jax","Jungle",1,"0.5%","2.0%","3.9%","0%","100%",3,5,7,2,"83.3%","25.0%","100%",196,378,2,6.5,"17.4%",494,"16.5%","20.2%",0.72,0.44
"Jax","Top",3,"1.5%","2.0%","3.9%","100%","33%",12,4,13,6.3,"36.8%","12.5%","0%",39,192,-5.7,8.2,"23.7%",641,"20.0%","19.5%",0.59,0.15
"Jayce","Top",54,"26.5%","28.4%","54.9%","48%","6%",166,182,264,2.4,"54.9%","23.1%","9%",254,-8,6.1,8.9,"23.8%",770,"26.5%","21.6%",0.51,0.2
"Jhin","ADC",49,"24.0%","5.9%","29.9%","57%","78%",215,98,332,5.6,"69.1%","15.2%","37%",112,45,0.6,10,"30.1%",724,"24.2%","27.2%",0.47,0.23
"K'Sante","Top",37,"18.1%","7.8%","26.0%","35%","84%",79,111,169,2.2,"45.7%","18.8%","0%",-174,-15,-3.8,8.2,"20.9%",469,"17.0%","18.6%",0.43,0.17
"Kai'Sa","ADC",3,"1.5%","1.5%","2.9%","33%","100%",13,10,8,2.1,"58.3%","20.0%","33%",-151,-411,-12.3,9.7,"32.0%",537,"23.5%","30.3%",0.44,0.42
"Kalista","ADC",7,"3.4%","2.0%","5.4%","43%","43%",31,27,41,2.7,"73.5%","20.1%","29%",-29,-121,-0.9,9.7,"29.6%",748,"25.0%","27.2%",0.41,0.38
"Karma","Support",41,"20.1%","57.4%","77.5%","56%","5%",35,87,477,5.9,"77.2%","16.9%","44%",116,68,-2.1,1,"2.4%",309,"10.1%","10.7%",2.02,0.49
"Kennen","Top",4,"2.0%","2.0%","3.9%","25%","75%",8,14,10,1.3,"42.9%","21.5%","25%",432,106,9.5,8.6,"23.4%",663,"25.5%","20.5%",0.44,0.21
"Kha'Zix","Jungle",2,"1.0%","0.0%","1.0%","100%","100%",19,5,15,6.8,"85.0%","35.7%","100%",1438,205,1.5,8.3,"21.5%",849,"29.2%","28.3%",0.31,0.61
"Kog'Maw","ADC",3,"1.5%","0.5%","2.5%","67%","100%",16,6,20,6,"65.5%","18.2%","33%",-41,-8,-1.3,9.7,"30.1%",1171,"31.8%","27.4%",0.4,0.33
"Kog'Maw","Middle",1,"0.5%","0.5%","2.5%","0%","100%",2,1,3,5,"83.3%","8.3%","0%",-200,-246,-3,8.8,"23.9%",612,"35.2%","22.0%",0.53,0.22
"LeBlanc","Middle",6,"2.9%","5.9%","8.8%","33%","100%",21,16,27,3,"57.8%","15.5%","17%",243,214,4.3,8.6,"22.5%",778,"26.8%","20.9%",0.32,0.26
"Lee Sin","Jungle",37,"18.1%","17.2%","35.3%","51%","54%",166,120,283,3.7,"76.6%","20.6%","35%",38,50,0.4,6.9,"18.5%",475,"16.5%","20.7%",0.7,0.33
"Leona","Support",5,"2.5%","2.5%","4.9%","40%","60%",1,24,32,1.4,"55.0%","27.6%","0%",-335,-217,-1.6,1.1,"2.5%",127,"5.2%","8.8%",1.96,0.53
"Lissandra","Middle",1,"0.5%","0.0%","0.5%","100%","100%",1,3,10,3.7,"55.0%","37.5%","0%",-699,-525,-12,8.7,"21.9%",469,"17.7%","17.7%",0.17,0.17
